Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
1,0,0,0,0,0
2,-0.01,0.2,0,0.8,0
3,-0.03,0.5,0,1.1,75
4,-0.05,0.8,0,1.3,75
5,-0.05,0.8,0,0.2,75
6,-0.1,1.5,0,2.7,75
7,-0.18,2.7,0,4.8,75
8,-0.22,3.3,0,2.2,75
9,-0.27,4,0,2.9,75
10,-0.28,4.2,0,1,40
11,-0.28,4.2,0,-0.4,40
12,-0.57,8.6,0,17.7,40
13,-0.23,3.5,0,-20.4,-75
14,0.26,-3.9,0,-29.4,-75
15,0.67,-10,0,-24.4,-75
16,1.16,-17.3,0,-29.4,-75
17,1.52,-22.7,-0,-21.6,-75
18,1.89,-28.4,-0,-22.4,-75
19,2.24,-33.5,0,-20.8,-75
20,2.56,-38.5,0,-19.7,-58
21,2.49,-37.3,0,4.6,-40
22,2.08,-31.3,0,24.2,-40
23,1.82,-27.3,-0,16,-40
24,1.93,-29,-0,-7,-40
25,2.15,-32.2,0,-12.9,-45
26,1.82,-27.3,-0,19.6,-40
27,1.4,-21,-0,25.4,75
28,0.9,-13.5,-0,30.1,75
29,0.45,-6.7,-0,27,75
30,0.03,-0.4,-0,25.3,75
31,-0.33,4.9,-0,21.3,75
32,-0.61,9.1,-0,16.8,75
33,-0.85,12.8,-0,14.6,75
34,-0.96,14.5,-0,6.8,40
35,-1,15,-0,2.2,40
36,-1.12,16.7,0,6.9,40
37,-1.39,20.8,0,16.2,40
38,-1.96,29.3,0,34.2,63
39,-1.99,29.9,0,2.3,40
40,-1.61,24.2,0,-23,40
41,-1.2,18,0,-24.5,-75
42,-0.89,13.4,0,-18.6,-75
43,-0.6,9,0,-17.7,-75
44,-0.19,2.9,0,-24.2,-75
45,0.18,-2.7,0,-22.4,-75
46,0.56,-8.3,0,-22.6,-75
47,0.87,-13.1,0,-18.9,-75
48,0.98,-14.7,0,-6.6,-40
49,1.05,-15.7,0,-4,-40
50,1.02,-15.3,0,1.5,-40
51,1.16,-17.5,0,-8.6,-40
52,1.11,-16.7,0,3.2,-40
53,0.66,-9.9,0,26.8,75
54,0.21,-3.1,0,27.2,75
55,-0.26,4,0,28.4,75
56,-0.69,10.4,0,25.7,75
