Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
1,-1.26,18.8,0,125.6,144
2,-1.25,18.7,0,-0.6,80
3,-1.28,19.2,0,3.1,80
4,-1.25,18.7,0,-3.3,80
5,-1.27,19.1,0,2.7,80
6,-1.24,18.6,0,-3.4,80
7,-1.15,17.2,0,-9.1,80
8,-1.39,20.8,0,23.6,80
9,-1.04,15.5,0,-35.1,-80
10,-0.4,6,0,-63.7,-80
11,0.28,-4.1,0,-67.4,-80
12,0.95,-14.2,0,-67.1,-81
13,1.51,-22.7,0,-56.8,-80
14,2.17,-32.6,0,-66.1,-98
15,2.76,-41.4,0,-58.2,-99
16,3.09,-46.4,0,-33.8,-80
17,3.13,-46.9,0,-3.4,-80
18,3.05,-45.8,0,7.7,-80
19,2.89,-43.3,0,16.5,-80
20,2.54,-38.1,0,34.5,-80
21,2.16,-32.4,0,38.3,80
22,1.59,-23.9,0,56.8,80
23,0.84,-12.6,0,75.5,80
24,0.1,-1.5,0,74,80
25,-0.58,8.7,0,67.7,80
26,-1.07,16.1,0,49.3,80
27,-1.58,23.6,0,50.2,80
28,-1.73,26,0,15.7,50
29,-1.85,27.8,0,11.9,50
30,-1.69,25.3,0,-16.5,50
31,-1.44,21.6,0,-24.7,-80
32,-1.17,17.6,0,-26.6,-80
33,-0.76,11.4,0,-41.5,-80
34,-0.41,6.1,0,-34.9,-80
35,-0.14,2.1,0,-27.1,-80
36,-0.06,0.9,0,-7.6,-80
37,0.11,-1.6,0,-17.1,-80
38,-0.03,0.4,0,13.4,80
39,-0.04,0.7,0,1.8,80
40,-0.41,6.1,0,36.4,80
41,-0.87,13,0,45.7,80
42,-1.34,20.1,0,47.2,80
43,-2,30,0,66.2,96
44,-2.59,38.8,0,59,97
45,-3.36,50.4,0,77.2,127
46,-3.62,54.4,0,26.3,80
47,-3.76,56.3,0,13.2,80
48,-3.96,59.4,0,20.3,80
49,-3.91,58.6,0,-4.9,80
50,-3.63,54.4,0,-28.1,80
51,-3.32,49.9,0,-30.5,80
52,-2.98,44.7,0,-34.4,80
53,-2.62,39.3,0,-36,80
54,-2.12,31.8,0,-49.9,-80
55,-1.62,24.3,0,-49.8,-80
56,-1.01,15.1,0,-61.5,-80
57,-0.35,5.2,0,-65.7,-80
58,0.25,-3.7,0,-59.6,-80
59,0.74,-11,0,-49,-80
60,1.34,-20,0,-59.9,-80
61,1.55,-23.2,0,-21.3,-50
62,1.57,-23.5,0,-2,-50
63,1.5,-22.5,0,6.8,-50
64,1.24,-18.6,0,25.8,80
65,0.83,-12.5,0,41.2,80
66,0.39,-5.8,0,44.2,80
67,-0.03,0.4,0,41.7,80
68,-0.43,6.4,0,39.7,80
69,-0.81,12.2,0,38.9,80
70,-1.18,17.7,0,36.4,80
71,-1.7,25.5,0,52.3,77
72,-2.11,31.7,0,41.2,72
73,-2.03,30.5,0,-8.1,50
74,-1.85,27.7,0,-18.6,50
75,-1.69,25.3,0,-15.6,50
